original filename , secure_url, cloudName
honor 9x lite-se215ftl-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154288/Batch%205/honor_9x_lite-se215ftl-h_mjqdqg.jpg,belalhamdy
honor 9x lite-se215ftl-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154293/Batch%205/honor_9x_lite-se215ftl-v_imqm0v.jpg,belalhamdy
honor 9x lite-se216fpd-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154297/Batch%205/honor_9x_lite-se216fpd-h_pvp87u.jpg,belalhamdy
honor 9x lite-se216fpd-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154303/Batch%205/honor_9x_lite-se216fpd-v_llvkgt.jpg,belalhamdy
honor 9x lite-se219app-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154309/Batch%205/honor_9x_lite-se219app-h_sjypfv.jpg,belalhamdy
honor 9x lite-se219app-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154315/Batch%205/honor_9x_lite-se219app-v_ss6bzt.jpg,belalhamdy
honor 9x lite-se220cfp-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154319/Batch%205/honor_9x_lite-se220cfp-h_vlh1lz.jpg,belalhamdy
honor 9x lite-se220cfp-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154322/Batch%205/honor_9x_lite-se220cfp-v_ozb2qk.jpg,belalhamdy
honor 9x lite-sv521ffp-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154325/Batch%205/honor_9x_lite-sv521ffp-h_pzxk3r.jpg,belalhamdy
honor 9x lite-sv521ffp-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154330/Batch%205/honor_9x_lite-sv521ffp-v_rzmdez.jpg,belalhamdy
honor 9x lite-sv522gzl-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154333/Batch%205/honor_9x_lite-sv522gzl-h_qxruxq.jpg,belalhamdy
honor 9x lite-sv522gzl-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154337/Batch%205/honor_9x_lite-sv522gzl-v_hfudxf.jpg,belalhamdy
honor 9x lite-sv523mep-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154340/Batch%205/honor_9x_lite-sv523mep-h_cbxv1r.jpg,belalhamdy
honor 9x lite-sv523mep-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154344/Batch%205/honor_9x_lite-sv523mep-v_fjhnks.jpg,belalhamdy
honor 9x lite-sv524gsp-h.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154347/Batch%205/honor_9x_lite-sv524gsp-h_phb9wn.jpg,belalhamdy
honor 9x lite-sv524gsp-v.jpg,https://res.cloudinary.com/belalhamdy/image/upload/v1609154351/Batch%205/honor_9x_lite-sv524gsp-v_miwcpa.jpg,belalhamdy
